keys,zh_CN,en
SETTINGS_DIALOG_BORDER_EXPLAIN,"适合屏幕空间较小，且宽高比较为狭长，需要放大点击棋盘格子的用户","For users who has small screen and large aspect raito, required to scale up the chessboard square."
SETTINGS_TEXT_TO_SPEECH,"文本转语音","Text To Speech"
SETTINGS_TEXT_TO_SPEECH_EXPLAIN,"适用于视障者。基于操作系统中的文本转语音接口，Windows端表现效果较好，但Android端可能无法使用。","For blindnesses. Achieved by using operating system's TTS feature. Work well on Windows but may not work in Android."
SETTINGS_TEXT_TO_SPEECH_VOICE,"声音","Voice"
SETTINGS_TEXT_TO_SPEECH_VOLUME,"音量","Volume"
SETTINGS_TEXT_TO_SPEECH_SPEED,"速度","Speed"
SETTINGS_TEXT_TO_SPEECH_PITCH,"音高","Pitch"
SETTINGS_TOUCH_GESTURE,"辅助手势","Gesture Assist"
SETTINGS_TOUCH_GESTURE_EXPLAIN,"使用手势模拟按键操作。划动以移动光标，单击进行确认。","Simulate buttons control by using gesture. Swipe to move the pointer, click to confirm."
SETTINGS_RELAX,"手下留情？","Mercy?"
SETTINGS_RELAX_EXPLAIN,"推荐没系统学习过象棋的人，且感谢您的参与！引擎不会通过深层战术挫败您，相对于标准难度，您有更多机会实施棋局中的强制战术。然而引擎仍然会惩罚您的漏着，请谨慎落子。","For users who haven't learn to play chess before and thank you for participant! The chess engine won't frustrate you with its deep tactics. You have more chance to find out the tactics compare to standard difficulty. However, engine still can punish your blunder, so be careful!"
SETTINGS_RESET_DOCUMENTS,"清空全部文档","Clean all documents"
SETTINGS_RESET_DOCUMENTS_BUTTON,"清空","Clean"
SETTINGS_RESET_PROGRESS,"重置游戏进度","Reset game progress"
SETTINGS_RESET_PROGRESS_BUTTON,"重置","Reset"
SETTINGS_RESET_PROGRESS_EXPLAIN,"注意：游戏进度与文档是无关的，您仍然可以查看上一回游戏中的产生的文档。","Attention: Game progress is irrelevant to documents. You can still check out your documents which are created in previous game."
SETTINGS_RESET_DOCUMENTS_SUCCESS,"清理完成","Process finished"
TRAIN_CARRIAGE_PLAY_CHESS,"下棋","Play Chess"
HOTEL_ROOM_PLAY_CHESS,"下棋（单独研究）","Play Chess (by yourself)"
YULAN_INTERACT_PLAY_CHESS,"下棋？","Play Chess?"
YULAN_INTERACT_CUSTOM_POSITION,"自定义布局","Custom position"
RECEPTION_LOBBY_WHITE,"前台","Front Desk"
RECEPTION_LOBBY_BLACK,"休闲区","Rest Area"
HOTEL_ELEVATOR,"电梯","Elevator"
HOTEL_ROOM_BEDROOM,"卧室","Bedroom"
HOTEL_ROOM_BATHROOM,"浴室","Bathroom"
HOTEL_ROOM_MIRROR,"镜子","Mirror"
LEVEL_PLAY_CHESS,"下棋","Play Chess"
TO_RECEPTION_LOBBY,"前往大厅","To reception lobby"
TO_ENTRANCE,"前往入口","To entrance"
TO_CAFE,"前往咖啡厅","To cafe"
TO_GARDEN,"前往花园","To garden"
TO_MUSIC_ROOM,"前往音乐室","To music room"
TO_HALLWAY,"前往走廊","To hallway"
TO_GUEST_ROOM,"前往客房", "To guest room"
TO_BASEMENT,"前往地下室", "To basement"
COMPUTER_ROOM_COMPUTER,"计算机","Computer"
SAYS,"说："," Says: "
